Keio gene name,EcoGene Essentiality: Escherichia coli BW25113
grpE,1
rpmD,1
fldA,1
msbA,1
rpmB,1
minD,1
bamD,1
nrdB,1
metG,1
rpoE,1
lptB,1
mreB,1
pheT,1
lolC,1
kdsB,1
purB,1
bamA,1
lepB,1
yhbV,1
tilS,1
suhB,1
lnt,1
asd,1
lptA,1
lspA,1
rho,1
hemL,1
rplL,1
rpsN,1
murJ,1
ubiA,1
ribC,1
ydiL,1
glmM,1
ribD,1
kdsA,1
lpxA,1
thiL,1
tadA,1
lpxC,1
plsB,1
orn,1
hemA,1
cca,1
wzyE,1
hemD,1
yrfF,1
hemG,1
cydA,1
cydC,1
lolB,1
csrA,1
ftsL,1
mukB,1
mukE,1
ftsB,1
secE,1
cohE,1
secM,1
mreD,1
zipA,1
rplW,1
accC,1
accA,1
ffh,1
waaU,1
rpoA,1
dfp,1
hemH,1
alsK,1
degS,1
ispG,1
thrS,1
infA,1
def,1
rpmC,1
folD,1
hemC,1
rplM,1
murD,1
rpsD,1
rplS,1
groS,1
rpsR,1
mreC,1
pyrH,1
cdsA,1
ftsZ,1
murG,1
rplB,1
prs,1
cysS,1
nrdA,1
racR,1
secY,1
yidC,1
coaD,1
adk,1
rpsA,1
lolE,1
murB,1
gltX,1
dxs,1
ssb,1
lptF,1
frr,1
lptC,1
dnaB,1
map,1
fabD,1
psd,1
ydfB,1
dnaC,1
fbaA,1
ftsH,1
parE,1
rplX,1
rsmI,1
rpsP,1
fusA,1
ftsI,1
trpS,1
lpxH,1
ftsX,1
bcsB,1
folC,1
lolA,1
murA,1
ispA,1
yhhQ,1
glmS,1
ppa,1
gpsA,1
mazE,1
holA,1
groL,1
rpsK,1
rplO,1
yafN,1
gyrA,1
gyrB,1
murE,1
holB,1
yqgF,1
lpxB,1
proS,1
nusA,1
birA,1
coaA,1
dxr,1
rplD,1
glyS,1
tyrS,1
leuS,1
ispE,1
topA,1
ligA,1
eno,1
fabG,1
dnaG,1
folK,1
tsaC,1
yceQ,1
ispU,1
pgk,1
rpoD,1
metK,1
ftsW,1
nusG,1
pheS,1
tnaB,1
dnaA,1
pgsA,1
dnaE,1
ribF,1
argS,1
nadD,1
lexA,1
rplF,1
tsf,1
rplT,1
prfA,1
rplU,1
ribB,1
ftsE,1
ispD,1
dnaX,1
fabB,1
accD,1
rpsC,1
rplV,1
lgt,1
mqsA,1
rpsU,1
rplC,1
murF,1
entD,1
mukF,1
plsC,1
ftsN,1
polA,1
ribA,1
tmk,1
hisS,1
obgE,1
infB,1
dicA,1
rplR,1
tsaE,1
lptG,1
glnS,1
serS,1
pyrG,1
acpS,1
tsaB,1
mrdB,1
alaS,1
spoT,1
ileS,1
aspS,1
prmC,1
murI,1
der,1
fmt,1
folA,1
rpsE,1
rplP,1
tsaD,1
gmk,1
chpS,1
glyQ,1
minE,1
nadE,1
prfB,1
lolD,1
ftsA,1
rpsS,1
rpmH,1
rnpA,1
rpoB,1
rpoC,1
rpsG,1
ispF,1
ftsY,1
ispH,1
murC,1
rpsB,1
rpsJ,1
rplN,1
secA,1
ftsQ,1
yefM,1
waaA,1
rseP,1
lptD,1
lpxK,1
rplQ,1
hemB,1
glmU,1
trmD,1
nadK,1
fabI,1
mrdA,1
pth,1
ftsK,1
coaE,1
ubiB,1
ispB,1
acpP,1
rpmA,1
rpsL,1
era,1
rpsH,1
fabA,1
rplE,1
valS,1
parC,1
secF,1
secD,1
lptE,1
ribE,1
pssA,1
rne,1
lpxD,1
dnaN,1
accB,1
mraY,1
fabZ,1
tdcF,1
dut,1
yihA,1
yagG,1
yejM,1
can,1
rplJ,1
asnS,1
infC,1
erpA,1
ubiD,1